rel	beta
activation	1
compound	0
binding/association	0
expression	1
inhibition	-1
activation_phosphorylation	1
phosphorylation	0
inhibition_phosphorylation	-1
inhibition_dephosphorylation	-1
dissociation	0
dephosphorylation	0
activation_dephosphorylation	1
state change	0
activation_indirect effect	1
inhibition_ubiquination	-1
ubiquitination	0
expression_indirect effect	1
inhibition_indirect effect	-1
repression	-1
dissociation_phosphorylation	0
indirect effect_phosphorylation	0
activation_binding/association	1
indirect effect	0
activation_compound	1
activation_ubiquination	1
missing interaction	0
None	0
